state,district,candidate,party,votes
pennsylvania,cd15,Thompson*,gop,"253,686"
pennsylvania,cd15,Williams,dem,"91,626"
pennsylvania,cd16,Kelly*,gop,"207,472"
pennsylvania,cd16,Gnibus,dem,"142,232"
pennsylvania,cd17,Lamb*,dem,"218,185"
pennsylvania,cd17,Parnell,gop,"208,074"
pennsylvania,cd18,Doyle*,dem,"259,688"
pennsylvania,cd18,Negron,gop,"115,350"
rhode-island,cd01,Cicilline*,dem,"154,811"
rhode-island,cd02,Langevin*,dem,"150,776"
rhode-island,cd02,Lancia,gop,"108,701"
south-carolina,cd01,Mace,gop,"215,811"
south-carolina,cd01,Cunningham*,dem,"210,443"
south-carolina,cd02,Wilson*,gop,"202,715"
south-carolina,cd02,Boroughs,dem,"155,118"
south-carolina,cd03,Duncan*,gop,"237,544"
south-carolina,cd03,Cleveland,dem,"95,712"
south-carolina,cd04,Timmons*,gop,"222,126"
south-carolina,cd04,Nelson,dem,"133,023"
south-carolina,cd05,Norman*,gop,"220,006"
south-carolina,cd05,Brown,dem,"145,979"
south-carolina,cd06,Clyburn*,dem,"197,469"
south-carolina,cd06,McCollum,gop,"89,245"
south-carolina,cd07,Rice*,gop,"224,984"
south-carolina,cd07,Watson,dem,"138,857"
south-dakota,cd00,Johnson*,gop,"321,977"
tennessee,cd01,Harshbarger,gop,"227,562"
tennessee,cd01,Walsingham,dem,"68,126"
tennessee,cd02,Burchett*,gop,"238,447"
tennessee,cd02,Hoyos,dem,"109,298"
tennessee,cd03,Fleischmann*,gop,"215,318"
tennessee,cd03,Gorman,dem,"99,510"
tennessee,cd04,DesJarlais*,gop,"223,941"
tennessee,cd04,Hale,dem,"111,885"
tennessee,cd05,Cooper*,dem,0
tennessee,cd06,Rose*,gop,"257,219"
tennessee,cd06,Finley,dem,"83,694"
tennessee,cd07,Green*,gop,"246,375"
tennessee,cd07,Sreepada,dem,"94,372"
tennessee,cd08,Kustoff*,gop,"226,949"
tennessee,cd08,Pearson,dem,"97,561"
tennessee,cd09,Cohen*,dem,"187,258"
tennessee,cd09,Bergmann,gop,"48,688"
texas,cd01,Gohmert*,gop,"218,385"
texas,cd01,Gilbert,dem,"82,359"
texas,cd02,Crenshaw*,gop,"197,300"
texas,cd02,Ladjevardian,dem,"148,727"
texas,cd03,Taylor*,gop,"228,648"
texas,cd03,Seikaly,dem,"177,221"
texas,cd04,Fallon,gop,"255,039"
texas,cd04,Foster,dem,"77,262"
texas,cd05,Gooden*,gop,"173,298"
texas,cd05,Salter,dem,"100,466"
texas,cd06,Wright*,gop,"179,018"
texas,cd06,Daniel,dem,"148,961"
texas,cd07,Fletcher*,dem,"159,019"
texas,cd07,Hunt,gop,"147,802"
texas,cd08,Brady*,gop,"276,960"
texas,cd08,Hernandez,dem,"97,182"
texas,cd09,Green*,dem,"172,060"
texas,cd09,Teague,gop,"49,250"
texas,cd10,McCaul*,gop,"215,896"
texas,cd10,Siegel,dem,"186,350"
texas,cd11,Pfluger,gop,"231,839"
texas,cd11,Hogg,dem,"53,213"
texas,cd12,Granger*,gop,"232,814"
texas,cd12,Welch,dem,"120,617"
texas,cd13,Jackson,gop,"216,523"
texas,cd13,Trujillo,dem,"50,213"
texas,cd14,Weber*,gop,"189,691"
texas,cd14,Bell,dem,"117,862"
texas,cd15,Gonzalez*,dem,"115,073"
texas,cd15,De La Cruz-Hernandez,gop,"108,503"
texas,cd16,Escobar*,dem,"145,766"
texas,cd16,Armendariz-Jackson,gop,"80,762"
texas,cd17,Sessions,gop,"170,974"
texas,cd17,Kennedy,dem,"124,993"
texas,cd18,Jackson Lee*,dem,"180,125"
texas,cd18,Champion,gop,"57,617"
texas,cd19,Arrington*,gop,"197,509"
texas,cd19,Watson,dem,"60,200"
texas,cd20,Castro*,dem,"172,648"
texas,cd20,Garza,gop,"88,171"
texas,cd21,Roy*,gop,"233,766"
texas,cd21,Davis,dem,"203,028"
texas,cd22,Nehls,gop,"209,735"
texas,cd22,Kulkarni,dem,"181,320"
texas,cd23,Gonzales,gop,"147,496"
texas,cd23,Ortiz Jones,dem,"135,415"
texas,cd24,Van Duyne,gop,"167,523"
texas,cd24,Valenzuela,dem,"162,894"
texas,cd25,Williams*,gop,"219,092"
texas,cd25,Oliver,dem,"164,449"
texas,cd26,Burgess*,gop,"261,163"
texas,cd26,Iannuzzi,dem,"160,453"
texas,cd27,Cloud*,gop,"171,738"
texas,cd27,De La Fuente,dem,"95,021"
texas,cd28,Cuellar*,dem,"136,512"
texas,cd28,Whitten,gop,"91,190"
texas,cd29,Garcia*,dem,"110,634"
texas,cd29,Blanco,gop,"42,563"
texas,cd30,E.B. Johnson*,dem,"204,855"
texas,cd30,Pennie,gop,"48,666"
texas,cd31,Carter*,gop,"210,768"
texas,cd31,Imam,dem,"174,394"
texas,cd32,Allred*,dem,"178,346"
texas,cd32,Collins,gop,"157,724"
texas,cd33,Veasey*,dem,"105,018"
texas,cd33,Vasquez,gop,"39,527"
texas,cd34,Vela*,dem,"110,907"
texas,cd34,Gonzalez,gop,"83,848"
texas,cd35,Doggett*,dem,"174,429"
texas,cd35,Sharon,gop,"80,016"
texas,cd36,Babin*,gop,"221,755"
texas,cd36,Lewis,dem,"72,920"
utah,cd01,Moore,gop,"231,423"
utah,cd01,Parry,dem,"101,440"
utah,cd02,Stewart*,gop,"202,946"
utah,cd02,Weston,dem,"125,661"
utah,cd03,Curtis*,gop,"236,901"
utah,cd03,Thorpe,dem,"92,768"
utah,cd04,Owens,gop,"172,753"
utah,cd04,McAdams*,dem,"171,056"
vermont,cd00,Welch*,dem,"238,778"
vermont,cd00,Berry,gop,"95,810"
virginia,cd01,Wittman*,gop,"259,872"
virginia,cd01,Rashid,dem,"185,933"
virginia,cd02,Luria*,dem,"182,750"
virginia,cd02,Taylor,gop,"163,609"
virginia,cd03,Scott*,dem,"227,676"
virginia,cd03,Collick,gop,"105,776"
virginia,cd04,McEachin*,dem,"233,944"
virginia,cd04,Benjamin,gop,"149,173"
virginia,cd05,Good,gop,"210,452"
virginia,cd05,Webb,dem,"189,317"
virginia,cd06,Cline*,gop,"244,914"
virginia,cd06,Betts,dem,"132,999"
virginia,cd07,Spanberger*,dem,"230,498"
virginia,cd07,Freitas,gop,"222,379"
virginia,cd08,Beyer*,dem,"296,496"
virginia,cd08,Jordan,gop,"93,276"
virginia,cd09,Griffith*,gop,0
virginia,cd10,Wexton*,dem,"265,440"
virginia,cd10,Andrews,gop,"204,150"
virginia,cd11,Connolly*,dem,"273,199"
virginia,cd11,Anantatmula,gop,"107,952"
washington,cd01,DelBene*,dem,"248,209"
washington,cd01,Beeler,gop,"174,644"
washington,cd02,Larsen*,dem,"252,290"
washington,cd02,Hazelo,gop,"145,865"
washington,cd03,Herrera Beutler*,gop,"234,053"
washington,cd03,Long,dem,"180,306"
washington,cd04,Newhouse*,gop,"198,147"
washington,cd04,McKinley,dem,"100,116"
washington,cd05,McMorris Rodgers*,gop,"235,368"
washington,cd05,Wilson,dem,"150,522"
washington,cd06,Kilmer*,dem,"245,124"
washington,cd06,Kreiselmaier,gop,"166,559"
washington,cd07,Jayapal*,dem,"386,171"
washington,cd07,Keller,gop,"77,866"
washington,cd08,Schrier*,dem,"211,551"
washington,cd08,Jensen,gop,"196,810"
washington,cd09,Smith*,dem,"258,094"
washington,cd09,Basler,gop,"89,267"
washington,cd10,Strickland,dem,"165,510"
washington,cd10,Doglio,dem,"119,247"
west-virginia,cd01,McKinley*,gop,"178,925"
west-virginia,cd01,Cline,dem,"80,195"
west-virginia,cd02,Mooney*,gop,"169,506"
west-virginia,cd02,Kunkel,dem,"98,990"
west-virginia,cd03,Miller*,gop,"160,292"
west-virginia,cd03,Turner,dem,"64,170"
wisconsin,cd01,Steil*,gop,"238,257"
wisconsin,cd01,Polack,dem,"163,154"
wisconsin,cd02,Pocan*,dem,"318,487"
wisconsin,cd02,Theron,gop,"138,293"
wisconsin,cd03,Kind*,dem,"199,798"
wisconsin,cd03,Van Orden,gop,"188,825"
wisconsin,cd04,Moore*,dem,"232,654"
wisconsin,cd04,Rogers,gop,"70,768"
wisconsin,cd05,Fitzgerald,gop,"265,417"
wisconsin,cd05,Palzewicz,dem,"175,872"
wisconsin,cd06,Grothman*,gop,"238,858"
wisconsin,cd06,King,dem,"164,216"
wisconsin,cd07,Tiffany*,gop,"252,004"
wisconsin,cd07,Zunker,dem,"162,729"
wisconsin,cd08,Gallagher*,gop,"267,862"
wisconsin,cd08,Stuck,dem,"150,824"
wyoming,cd00,Cheney*,gop,"185,602"
wyoming,cd00,Grey Bull,dem,"66,539"
