first,last,party,id,votes,avotes,electoral,winner,incumbent,percent,state,fips,rating
Joe,Biden,Dem,1036,10367,0,,,,0.2533,AL,01051,likely-r
Jo,Jorgensen,Lib,67957,398,0,,,,0.0097,AL,01051,likely-r
Donald,Trump,GOP,8639,10869,0,9.0,X,True,0.6844,AL,01053,likely-r
Joe,Biden,Dem,1036,4918,0,,,,0.3097,AL,01053,likely-r
Jo,Jorgensen,Lib,67957,94,0,,,,0.0059,AL,01053,likely-r
Donald,Trump,GOP,8639,35528,0,9.0,X,True,0.746,AL,01055,likely-r
Joe,Biden,Dem,1036,11567,0,,,,0.2429,AL,01055,likely-r
Jo,Jorgensen,Lib,67957,531,0,,,,0.0111,AL,01055,likely-r
Donald,Trump,GOP,8639,7300,0,9.0,X,True,0.8342,AL,01057,likely-r
Joe,Biden,Dem,1036,1395,0,,,,0.1594,AL,01057,likely-r
Jo,Jorgensen,Lib,67957,56,0,,,,0.0064,AL,01057,likely-r
Donald,Trump,GOP,8639,10376,0,9.0,X,True,0.8256,AL,01059,likely-r
Joe,Biden,Dem,1036,2086,0,,,,0.166,AL,01059,likely-r
Jo,Jorgensen,Lib,67957,106,0,,,,0.0084,AL,01059,likely-r
Donald,Trump,GOP,8639,10848,0,9.0,X,True,0.8656,AL,01061,likely-r
Joe,Biden,Dem,1036,1595,0,,,,0.1273,AL,01061,likely-r
Jo,Jorgensen,Lib,67957,90,0,,,,0.0072,AL,01061,likely-r
Joe,Biden,Dem,1036,3884,769,,,,0.8148,AL,01063,likely-r
Donald,Trump,GOP,8639,875,58,9.0,X,True,0.1836,AL,01063,likely-r
Jo,Jorgensen,Lib,67957,8,0,,,,0.0017,AL,01063,likely-r
Joe,Biden,Dem,1036,4663,0,,,,0.5909,AL,01065,likely-r
Donald,Trump,GOP,8639,3192,0,9.0,X,True,0.4045,AL,01065,likely-r
Jo,Jorgensen,Lib,67957,37,0,,,,0.0047,AL,01065,likely-r
Donald,Trump,GOP,8639,6607,0,9.0,X,True,0.7118,AL,01067,likely-r
Joe,Biden,Dem,1036,2606,0,,,,0.2808,AL,01067,likely-r
Jo,Jorgensen,Lib,67957,69,0,,,,0.0074,AL,01067,likely-r
Donald,Trump,GOP,8639,32618,0,9.0,X,True,0.708,AL,01069,likely-r
Joe,Biden,Dem,1036,12917,0,,,,0.2804,AL,01069,likely-r
Jo,Jorgensen,Lib,67957,533,0,,,,0.0116,AL,01069,likely-r
Donald,Trump,GOP,8639,19670,0,9.0,X,True,0.8337,AL,01071,likely-r
Joe,Biden,Dem,1036,3717,0,,,,0.1575,AL,01071,likely-r
Jo,Jorgensen,Lib,67957,208,0,,,,0.0088,AL,01071,likely-r
Joe,Biden,Dem,1036,181688,0,,,,0.5606,AL,01073,likely-r
Donald,Trump,GOP,8639,138843,0,9.0,X,True,0.4284,AL,01073,likely-r
Jo,Jorgensen,Lib,67957,3578,0,,,,0.011,AL,01073,likely-r
Donald,Trump,GOP,8639,6174,0,9.0,X,True,0.8593,AL,01075,likely-r
Joe,Biden,Dem,1036,978,0,,,,0.1361,AL,01075,likely-r
Jo,Jorgensen,Lib,67957,33,0,,,,0.0046,AL,01075,likely-r
Donald,Trump,GOP,8639,31721,0,9.0,X,True,0.7181,AL,01077,likely-r
Joe,Biden,Dem,1036,11915,0,,,,0.2697,AL,01077,likely-r
Jo,Jorgensen,Lib,67957,537,0,,,,0.0122,AL,01077,likely-r
Donald,Trump,GOP,8639,12322,0,9.0,X,True,0.7696,AL,01079,likely-r
Joe,Biden,Dem,1036,3562,0,,,,0.2225,AL,01079,likely-r
Jo,Jorgensen,Lib,67957,126,0,,,,0.0079,AL,01079,likely-r
Donald,Trump,GOP,8639,42221,0,9.0,X,True,0.5938,AL,01081,likely-r
Joe,Biden,Dem,1036,27860,0,,,,0.3918,AL,01081,likely-r
Jo,Jorgensen,Lib,67957,1019,0,,,,0.0143,AL,01081,likely-r
Donald,Trump,GOP,8639,34640,0,9.0,X,True,0.7061,AL,01083,likely-r
Joe,Biden,Dem,1036,13672,0,,,,0.2787,AL,01083,likely-r
Jo,Jorgensen,Lib,67957,748,0,,,,0.0152,AL,01083,likely-r
Joe,Biden,Dem,1036,4972,0,,,,0.7275,AL,01085,likely-r
Donald,Trump,GOP,8639,1836,0,9.0,X,True,0.2687,AL,01085,likely-r
Jo,Jorgensen,Lib,67957,26,0,,,,0.0038,AL,01085,likely-r
Joe,Biden,Dem,1036,7108,0,,,,0.8169,AL,01087,likely-r
Donald,Trump,GOP,8639,1541,0,9.0,X,True,0.1771,AL,01087,likely-r
Jo,Jorgensen,Lib,67957,52,0,,,,0.006,AL,01087,likely-r
Donald,Trump,GOP,8639,102780,0,9.0,X,True,0.5304,AL,01089,likely-r
Joe,Biden,Dem,1036,87286,0,,,,0.4505,AL,01089,likely-r
Jo,Jorgensen,Lib,67957,3699,0,,,,0.0191,AL,01089,likely-r
Joe,Biden,Dem,1036,5488,0,,,,0.5039,AL,01091,likely-r
Donald,Trump,GOP,8639,5343,0,9.0,X,True,0.4906,AL,01091,likely-r
Jo,Jorgensen,Lib,67957,59,0,,,,0.0054,AL,01091,likely-r
Donald,Trump,GOP,8639,12205,0,9.0,X,True,0.8855,AL,01093,likely-r
Joe,Biden,Dem,1036,1463,0,,,,0.1061,AL,01093,likely-r
Jo,Jorgensen,Lib,67957,115,0,,,,0.0083,AL,01093,likely-r
Donald,Trump,GOP,8639,33191,0,9.0,X,True,0.8388,AL,01095,likely-r
Joe,Biden,Dem,1036,5943,0,,,,0.1502,AL,01095,likely-r
Jo,Jorgensen,Lib,67957,435,0,,,,0.011,AL,01095,likely-r
Donald,Trump,GOP,8639,101243,0,9.0,X,True,0.5543,AL,01097,likely-r
Joe,Biden,Dem,1036,79474,0,,,,0.4351,AL,01097,likely-r
Jo,Jorgensen,Lib,67957,1938,0,,,,0.0106,AL,01097,likely-r
Donald,Trump,GOP,8639,6147,367,9.0,X,True,0.5769,AL,01099,likely-r
Joe,Biden,Dem,1036,4455,887,,,,0.4181,AL,01099,likely-r
Jo,Jorgensen,Lib,67957,53,2,,,,0.005,AL,01099,likely-r
Joe,Biden,Dem,1036,64529,0,,,,0.6534,AL,01101,likely-r
Donald,Trump,GOP,8639,33311,0,9.0,X,True,0.3373,AL,01101,likely-r
Jo,Jorgensen,Lib,67957,923,0,,,,0.0093,AL,01101,likely-r
Donald,Trump,GOP,8639,39664,0,9.0,X,True,0.74,AL,01103,likely-r
Joe,Biden,Dem,1036,13234,0,,,,0.2469,AL,01103,likely-r
Jo,Jorgensen,Lib,67957,705,0,,,,0.0132,AL,01103,likely-r
Joe,Biden,Dem,1036,3860,0,,,,0.739,AL,01105,likely-r
Donald,Trump,GOP,8639,1339,0,9.0,X,True,0.2564,AL,01105,likely-r
Jo,Jorgensen,Lib,67957,24,0,,,,0.0046,AL,01105,likely-r
Donald,Trump,GOP,8639,5594,0,9.0,X,True,0.5793,AL,01107,likely-r
Joe,Biden,Dem,1036,4022,0,,,,0.4165,AL,01107,likely-r
Jo,Jorgensen,Lib,67957,40,0,,,,0.0041,AL,01107,likely-r
Donald,Trump,GOP,8639,8042,0,9.0,X,True,0.5822,AL,01109,likely-r
Joe,Biden,Dem,1036,5636,0,,,,0.4081,AL,01109,likely-r
Jo,Jorgensen,Lib,67957,134,0,,,,0.0097,AL,01109,likely-r
Donald,Trump,GOP,8639,8559,338,9.0,X,True,0.7908,AL,01111,likely-r
Joe,Biden,Dem,1036,2203,142,,,,0.2035,AL,01111,likely-r
Jo,Jorgensen,Lib,67957,61,5,,,,0.0056,AL,01111,likely-r
Joe,Biden,Dem,1036,11228,0,,,,0.5274,AL,01113,likely-r
Donald,Trump,GOP,8639,9864,0,9.0,X,True,0.4633,AL,01113,likely-r
Jo,Jorgensen,Lib,67957,198,0,,,,0.0093,AL,01113,likely-r
Donald,Trump,GOP,8639,36166,0,9.0,X,True,0.8154,AL,01115,likely-r
Joe,Biden,Dem,1036,7744,0,,,,0.1746,AL,01115,likely-r
Jo,Jorgensen,Lib,67957,446,0,,,,0.0101,AL,01115,likely-r
Donald,Trump,GOP,8639,79700,0,9.0,X,True,0.6965,AL,01117,likely-r
Joe,Biden,Dem,1036,33268,0,,,,0.2907,AL,01117,likely-r
Jo,Jorgensen,Lib,67957,1462,0,,,,0.0128,AL,01117,likely-r
Joe,Biden,Dem,1036,4648,0,,,,0.7398,AL,01119,likely-r
Donald,Trump,GOP,8639,1598,0,9.0,X,True,0.2543,AL,01119,likely-r
Jo,Jorgensen,Lib,67957,37,0,,,,0.0059,AL,01119,likely-r
Donald,Trump,GOP,8639,22235,2426,9.0,X,True,0.6242,AL,01121,likely-r
Joe,Biden,Dem,1036,13138,3035,,,,0.3688,AL,01121,likely-r
Jo,Jorgensen,Lib,67957,247,30,,,,0.0069,AL,01121,likely-r
Donald,Trump,GOP,8639,14963,0,9.0,X,True,0.7142,AL,01123,likely-r
Joe,Biden,Dem,1036,5859,0,,,,0.2796,AL,01123,likely-r
Jo,Jorgensen,Lib,67957,130,0,,,,0.0062,AL,01123,likely-r
Donald,Trump,GOP,8639,51117,0,9.0,X,True,0.5692,AL,01125,likely-r
